,image_path,h,w,f_i,x1,y1,x2,y2,emotion,emo_confidence
0,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,0,459,170,489,211,sad,0.0
1,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,1,300,121,330,159,fear,0.0
2,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,2,545,104,574,140,sad,0.0
3,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,3,392,170,412,198,sad,0.0
4,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,4,98,83,131,119,neutral,0.0
5,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,5,192,110,213,135,sad,0.0
6,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,6,482,118,504,141,neutral,0.0
7,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,7,0,1,29,73,fear,0.0
8,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,8,583,124,599,143,sad,0.0
9,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,9,608,132,630,159,sad,0.0
10,C:\mywork\ml\deepfaceAndEmotion\source\001333d5a0464e2fb454647fb3cf1dce.jpg,399,640,10,224,146,234,157,sad,0.0
11,C:\mywork\ml\deepfaceAndEmotion\source\00746310ec034c5484f3b998cbfa4795.jpg,666,670,0,382,137,546,360,neutral,0.0
12,C:\mywork\ml\deepfaceAndEmotion\source\00746310ec034c5484f3b998cbfa4795.jpg,666,670,1,74,149,144,255,neutral,0.96
13,C:\mywork\ml\deepfaceAndEmotion\source\00746310ec034c5484f3b998cbfa4795.jpg,666,670,2,201,2,271,83,fear,0.0
14,C:\mywork\ml\deepfaceAndEmotion\source\00746310ec034c5484f3b998cbfa4795.jpg,666,670,3,347,51,404,122,happy,0.97
15,C:\mywork\ml\deepfaceAndEmotion\source\014a05e9ae584321a9f473c994dd9818.jpg,738,1024,0,526,147,767,523,happy,0.0
16,C:\mywork\ml\deepfaceAndEmotion\source\014a05e9ae584321a9f473c994dd9818.jpg,738,1024,1,269,132,526,498,happy,0.0
17,C:\mywork\ml\deepfaceAndEmotion\source\0150b34a95e04a2c8d588af9942aec2d.jpg,840,1024,0,493,17,784,352,sad,0.0
18,C:\mywork\ml\deepfaceAndEmotion\source\0150b34a95e04a2c8d588af9942aec2d.jpg,840,1024,1,70,204,317,596,angry,0.0
19,C:\mywork\ml\deepfaceAndEmotion\source\0150b34a95e04a2c8d588af9942aec2d.jpg,840,1024,2,366,370,674,771,sad,0.0
20,C:\mywork\ml\deepfaceAndEmotion\source\0150b34a95e04a2c8d588af9942aec2d.jpg,840,1024,3,818,0,1024,60,neutral,0.0
21,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,0,1833,720,1915,833,happy,0.0
22,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,1,402,876,501,1017,happy,0.0
23,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,2,1458,858,1550,991,fear,0.94
24,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,3,712,722,800,833,happy,0.0
25,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,4,1785,1158,1896,1300,happy,0.0
26,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,5,746,1163,848,1311,fear,0.95
27,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,6,1739,847,1833,989,happy,0.0
28,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,7,604,939,695,1065,happy,0.0
29,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,8,1031,1125,1142,1287,angry,0.0
30,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,9,859,897,950,1027,happy,0.0
31,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,10,112,1139,218,1289,happy,0.0
32,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,11,1762,388,1835,484,happy,0.0
33,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,12,1810,556,1894,670,angry,0.93
34,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,13,445,663,536,796,happy,0.0
35,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,14,1589,683,1673,802,happy,0.0
36,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,15,1004,648,1090,766,happy,0.0
